Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
60,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Chelsea,24-289,1996,1.0,1,4,3,75.0,4.00,3.00,0.25,0.33,14.4,0,0,0,0.5,0.5,0.11,+0.5,+0.5,Matches
61,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,24-005,1997,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
62,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,25-179,1996,5.0,0,1,0,0.0,0.20,0.00,0.00,,20.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
63,Carney Chukwuemeka\Carney-Chukwuemeka,eng ENG,MF,Aston Villa,17-272,2004,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
64,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,32-010,1989,4.9,0,5,0,0.0,1.02,0.00,0.00,,6.0,0,0,0,0.7,0.7,0.15,-0.7,-0.7,Matches
65,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,32-055,1989,3.5,0,3,1,33.3,0.86,0.29,0.00,0.00,27.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
66,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,28-223,1993,7.0,0,3,0,0.0,0.43,0.00,0.00,,16.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
67,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,32-360,1988,4.0,0,1,0,0.0,0.25,0.00,0.00,,25.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
68,Nathan Collins\Nathan-Collins,ie IRL,DF,Burnley,20-159,2001,1.0,0,1,0,0.0,1.00,0.00,0.00,,7.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
69,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,21-251,2000,0.7,0,1,0,0.0,1.50,0.00,0.00,,9.0,0,0,0,0.4,0.4,0.42,-0.4,-0.4,Matches
70,Liam Cooper\Liam-Cooper,sct SCO,DF,Leeds United,30-037,1991,7.0,0,2,0,0.0,0.29,0.00,0.00,,13.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
71,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,32-103,1989,1.9,0,3,0,0.0,1.55,0.00,0.00,,22.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
72,Maxwel Cornet\Maxwel-Cornet,ci CIV,MF,Burnley,25-009,1996,0.9,1,3,2,66.7,3.46,2.31,0.33,0.50,14.2,0,0,0,0.5,0.5,0.17,+0.5,+0.5,Matches
73,Hélder Costa\Helder-Costa,pt POR,MF,Leeds United,27-267,1994,0.2,0,1,0,0.0,4.09,0.00,0.00,,22.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
74,Vladimír Coufal\Vladimir-Coufal,cz CZE,DF,West Ham,29-045,1992,7.0,0,3,1,33.3,0.43,0.14,0.00,0.00,17.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
75,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,31-295,1989,7.0,1,7,2,28.6,1.00,0.29,0.14,0.50,21.6,3,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
76,Charlie Cresswell\Charlie-Cresswell,eng ENG,DF,Leeds United,18-303,2002,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
77,Cucho\Cucho,co COL,FWMF,Watford,22-169,1999,1.5,1,4,2,50.0,2.69,1.34,0.25,0.50,20.2,0,0,0,0.1,0.1,0.03,+0.9,+0.9,Matches
78,Marc Cucurella\Marc-Cucurella,es ESP,DF,Brighton,23-076,1998,3.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
79,Patson Daka\Patson-Daka,zm ZAM,MFFW,Leicester City,22-362,1998,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
80,Stuart Dallas\Stuart-Dallas,nir NIR,DFMF,Leeds United,30-170,1991,6.9,0,10,2,20.0,1.46,0.29,0.00,0.00,21.3,0,0,0,0.9,0.9,0.09,-0.9,-0.9,Matches
81,Diogo Dalot\Diogo-Dalot,pt POR,DFFW,Manchester Utd,22-202,1999,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
82,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,30-363,1990,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
